"filename", "language", "C", "Makefile", "C++", "JSON", "Assembly", "Markdown", "YAML", "Shell Script", "pip requirements", "Python", "Log", "comment", "blank", "total"
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt_app_av.c", "C", 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 26, 399
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt_app_av.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 41
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt_app_core.c", "C", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 178
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\bt_app_core.h", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 53
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\component.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\gpio.c", "C", 397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82, 483
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\gpio.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\i2s.c", "C", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 61, 293
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\i2s.h", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 60
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\main.c", "C", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 105
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\main.h", "C++", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 74
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\sd.c", "C", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 35, 173
"d:\ISEL\PFC\SoniqOculos\ESP-IDF\SoniqOculos\main\sd.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 60, 14, 92
"Total", "-", 9139, 308, 3954, 27349, 85, 630, 70, 61, 5, 288, 702, 4612, 4798, 52001
